Tg2011-01m Song Entrain Male Cnts Date,Tg2011-01m Song Entrain Male Cnts Time,Tg2011-01m Song Entrain Male Cnts Data,Tg2011-03m Song Entrain Male Cnts Data,Tg2011-05m Song Entrain Male Cnts Data,Tg2011-07m Song Entrain Male Cnts Data,Tg2011-09m Song Entrain Male Cnts Data,Tg2011-11m Song Entrain Male Cnts Data,Tg2011-02f Song Entrain Female Cnts Data,Tg2011-06f Song Entrain Female Cnts Data,Tg2011-04f Song Entrain Female Cnts Data,Tg2011-08f Song Entrain Female Cnts Data,Tg2011-10f Song Entrain Female Cnts Data,Tg2011-12f Song Entrain Female Cnts Data
9/4/2012,10:53:30,0,0,0,0,0,0,0,0,0,0,0,0
9/4/2012,10:58:30,1,41,0,1,0,6,0,16,0,0,31,0
9/4/2012,11:03:30,12,23,0,2,5,58,0,4,0,0,5,0
9/4/2012,11:08:30,1,47,0,27,34,38,0,0,0,0,0,0
9/4/2012,11:13:30,2,55,0,0,4,27,0,9,0,0,2,0
9/4/2012,11:18:30,0,12,0,0,8,15,0,31,0,0,0,0
9/4/2012,11:23:30,0,3,0,0,8,58,1,1,0,0,1,0
9/4/2012,11:28:30,0,6,0,3,10,19,0,20,0,0,0,1
9/4/2012,11:33:30,5,2,0,43,2,16,1,2,0,0,0,0
9/4/2012,11:38:30,0,0,0,54,1,38,5,0,0,0,6,1
9/4/2012,11:43:30,0,1,0,48,0,16,23,0,0,0,31,0
9/4/2012,11:48:30,14,17,0,0,0,2,16,0,0,0,49,0
9/4/2012,11:53:30,0,1,0,0,2,15,1,37,0,0,64,0
9/4/2012,11:58:30,0,1,0,0,24,1,0,50,0,0,4,0
9/4/2012,12:03:30,0,1,0,34,42,0,2,84,0,0,38,0
9/4/2012,12:08:30,55,11,0,0,13,0,6,85,0,0,0,0
9/4/2012,12:13:30,43,8,0,0,2,0,3,38,0,0,0,24
9/4/2012,12:18:30,25,1,0,70,19,19,0,16,0,0,0,31
9/4/2012,12:23:30,26,0,0,52,19,13,4,9,0,0,36,0
9/4/2012,12:28:30,60,1,0,21,11,44,0,29,0,0,70,0
9/4/2012,12:33:30,0,1,0,13,17,31,7,57,1,0,20,0
9/4/2012,12:38:30,0,13,0,25,10,13,15,36,0,0,2,0
9/4/2012,12:43:30,0,3,0,0,1,0,1,73,0,0,0,0
9/4/2012,12:48:30,2,2,4,16,0,0,1,14,2,0,0,0
9/4/2012,12:53:30,0,3,1,48,6,0,0,0,4,0,2,0
9/4/2012,12:58:30,0,10,54,37,2,0,2,0,14,0,44,0
9/4/2012,13:03:30,6,6,30,28,24,0,0,15,9,0,66,0
9/4/2012,13:08:30,0,25,75,0,34,25,3,87,0,0,105,0
9/4/2012,13:13:30,0,0,76,3,6,81,6,77,0,0,58,0
9/4/2012,13:18:30,3,2,68,66,0,43,5,89,1,0,72,0
9/4/2012,13:23:30,0,0,53,66,0,0,31,56,1,0,49,0
9/4/2012,13:28:30,0,0,4,86,0,0,42,36,0,0,59,0
9/4/2012,13:33:30,3,0,9,36,0,0,83,14,1,0,17,0
